0	1000000		0	0				1286	
1	767525		232475	0.232475			1071	
2	671834		95691	0.124674766			1006	
3	624668		47166	0.070204842			970	
4	598713		25955	0.041550071			947	
5	583151		15562	0.02599242			930	
6	573025		10126	0.017364285			917	
7	565838		7187	0.01254221			906	
8	560245		5593	0.009884455			896	
9	555486		4759	0.008494498			887	
10	551122		4364	0.007856184			879	
11	546888		4234	0.007682509			872	
12	542630		4258	0.007785872			866	
13	538255		4375	0.008062584			860	
14	533711		4544	0.008442095			854	
15	528969		4742	0.008884958			848	
16	524020		4949	0.009355936			842	
17	518863		5157	0.009841227			835	
18	513502		5361	0.010332207			828	
19	507949		5553	0.010813979			821	
20	502216		5733	0.011286566			814	
21	496317		5899	0.011745942			806	
22	490267		6050	0.01218979			798	
23	484083		6184	0.012613535			790	
24	477777		6306	0.013026692			782	
25	471366		6411	0.013418394			774	
26	464863		6503	0.013796074			766	
27	458282		6581	0.014156859			758	
28	451635		6647	0.01450417			750	
29	444932		6703	0.014841631			742	
30	438183		6749	0.01516861			734	
31	431398		6785	0.015484398			726	
32	424583		6815	0.015797477			718	
33	417744		6839	0.016107569			710	
34	410886		6858	0.016416753			702	
35	404012		6874	0.016729701			694	
36	397123		6889	0.017051474			686	
37	390219		6904	0.017385042			678	
38	383300		6919	0.017731069			671	
39	376363		6937	0.018098095			664	
40	369404		6959	0.018490128			657	
41	362419		6985	0.018908837			650	
42	355400		7019	0.019367086			643	
43	348342		7058	0.019859313			636	
44	341235		7107	0.020402363			629	
45	334072		7163	0.020991399			622	
46	326843		7229	0.021639048			615	
47	319539		7304	0.022347121			607	
48	312148		7391	0.023130197			599	
49	304662		7486	0.023982214			590	
50	297070		7592	0.024919419			581	
51	289361		7709	0.025950113			571	
52	281527		7834	0.027073448			560	
53	273560		7967	0.02829924			549	
54	265450		8110	0.029646147			538	
55	257193		8257	0.03110567			526	
56	248782		8411	0.032703067			514	
57	240214		8568	0.034439791			502	
58	231488		8726	0.036325943			489	
59	222605		8883	0.038373479			476	
60	213567		9038	0.040601065			463	
61	204380		9187	0.043016946			450	
62	195054		9326	0.045630688			437	
63	185600		9454	0.048468629			423	
64	176035		9565	0.05153556			409	
65	166377		9658	0.05486409			395	
66	156651		9726	0.058457599			380	
67	146882		9769	0.062361555			364	
68	137102		9780	0.066584061			347	
69	127347		9755	0.071151406			329	
70	117656		9691	0.076099162			310	
71	108070		9586	0.081474808			291	
72	98637		9433	0.087286018			271	
73	89404		9233	0.093605848			251	
74	80423		8981	0.100454118			231	
75	71745		8678	0.107904455			211	
76	63424		8321	0.115980208			192	
77	55511		7913	0.124763496			173	
78	48057		7454	0.134279692			154	
79	41107		6950	0.14461993			136	
80	34705		6402	0.155739898			118	
81	28886		5819	0.167670365			101	
82	23680		5206	0.180225715			85	
83	19106		4574	0.193158784			71	
84	15175		3931	0.205746886			59	
85	11886		3289	0.216738056			48	
86	9224		2662	0.223960962			38	
87	7165		2059	0.223222029			29	
88	5670		1495	0.208653175			22	
89	4686		984	0.173544974			16	
90	3830		856	0.182671788			11	
91	3093		737	0.192428198			7	
92	2466		627	0.20271581			4	
93	1938		528	0.214111922			2	
94	1499		439	0.226522188			1	
95	1140		359	0.239492995			0	
